OurSubjID,SubjID,ScanSession,Cortical depth,Layer,fearfulBeta,FearfulT,happyBeta,HappyT,NeutralBeta,NeutralT,Beta(F-N),t(F-N),Beta((H-N),t(H-N)
s0087,4,1,2,deep,0.0070000,8.7626,0.0062000,7.7374,0.0066000,8.2362,0.0004000,0.370693,-0.000400,-0.370108
s0087,4,1,3,deep,0.0068000,8.4766,0.0066000,8.2021,0.0067000,8.3259,0.0001000,0.092286,-0.000100,-0.092139
s0087,4,1,4,deep,0.0075000,8.9028,0.0076000,8.9939,0.0075000,8.8751,0.0000100,0.008788,0.000100,0.087739
s0087,4,1,5,deep,0.0073000,8.7523,0.0070000,8.3669,0.0081000,9.6812,-0.0008000,-0.710081,-0.001100,-0.974816
s0087,4,1,6,deep,0.0085000,10.3408,0.0080000,9.7028,0.0089000,10.7938,-0.0004000,-0.360261,-0.000900,-0.809301
s0087,4,1,7,deep,0.0088000,10.5425,0.0084000,10.0325,0.0093000,11.1068,-0.0005000,-0.443456,-0.000900,-0.796958
s0087,4,1,8,middle,0.0089000,10.6739,0.0080000,9.5652,0.0095000,11.3581,-0.0006000,-0.532729,-0.001500,-1.329717
s0087,4,1,9,middle,0.0106000,12.8178,0.0096000,11.5731,0.0101000,12.1751,0.0005000,0.447609,-0.000500,-0.446897
s0087,4,1,10,middle,0.0103000,12.3636,0.0095000,11.3684,0.0101000,12.0858,0.0002000,0.177729,-0.000600,-0.532343
s0087,4,1,11,middle,0.0111000,12.3271,0.0100000,11.0715,0.0103000,11.4030,0.0008000,0.657730,-0.000300,-0.246258
s0087,4,1,12,middle,0.0129000,14.3580,0.0122000,13.5373,0.0112000,12.4271,0.0017000,1.400790,0.001000,0.822688
s0087,4,1,13,middle,0.0144000,14.6665,0.0137000,13.9109,0.0123000,12.4886,0.0021000,1.583446,0.001400,1.053955
s0087,4,1,14,middle,0.0201000,18.8557,0.0195000,18.2369,0.0159000,14.8693,0.0042000,2.916859,0.003600,2.496207
s0087,4,1,15,superficial,0.0215000,18.5365,0.0207000,17.7922,0.0168000,14.4392,0.0047000,2.999895,0.003900,2.485339
s0087,4,1,16,superficial,0.0236000,18.8889,0.0228000,18.1928,0.0174000,13.8832,0.0062000,3.673720,0.005400,3.194625
s0087,4,1,17,superficial,0.0241000,18.2783,0.0229000,17.3150,0.0170000,12.8532,0.0071000,3.986546,0.005900,3.307507
s0087,4,1,18,superficial,0.0244000,18.5733,0.0222000,16.8470,0.0164000,12.4449,0.0080000,4.508260,0.005800,3.263311
s0087,4,1,19,superficial,0.0250000,17.9675,0.0220000,15.7631,0.0163000,11.6784,0.0087000,4.629004,0.005700,3.027997
s0087,4,1,20,superficial,0.0209000,15.5047,0.0146000,10.7979,0.0107000,7.9131,0.0102000,5.601933,0.003900,2.138517
s0087,4,1,21,superficial,0.0151000,11.2059,0.0093000,6.8806,0.0067000,4.9567,0.0084000,4.614985,0.002600,1.426185
s0087,4,2,1,deep,0.0060583,5.5895,0.0051572,4.7774,0.0050840,4.7147,0.0009742,0.664541,0.000073,0.050226
s0087,4,2,2,deep,0.0072818,5.2523,0.0061772,4.4736,0.0065344,4.7374,0.0007474,0.398542,-0.000357,-0.191558
s0087,4,2,3,deep,0.0070171,5.7049,0.0055887,4.5619,0.0059099,4.8294,0.0011072,0.665489,-0.000321,-0.194160
s0087,4,2,4,deep,0.0076178,5.9820,0.0059812,4.7157,0.0065450,5.1658,0.0010729,0.622850,-0.000564,-0.329104
s0087,4,2,5,deep,0.0076999,5.7486,0.0064806,4.8579,0.0070496,5.2902,0.0006502,0.358900,-0.000569,-0.315812
s0087,4,2,6,deep,0.0085896,6.2803,0.0072489,5.3214,0.0078259,5.7513,0.0007636,0.412784,-0.000577,-0.313666
s0087,4,2,7,deep,0.0091576,6.6341,0.0078328,5.6973,0.0083593,6.0868,0.0007983,0.427549,-0.000526,-0.283522
s0087,4,2,8,middle,0.0092145,6.6296,0.0075874,5.4810,0.0083525,6.0402,0.0008619,0.458476,-0.000765,-0.409254
s0087,4,2,9,middle,0.0103165,7.2577,0.0085776,6.0587,0.0091073,6.4399,0.0012092,0.628904,-0.000530,-0.277069
s0087,4,2,10,middle,0.0103068,7.3602,0.0087145,6.2481,0.0090716,6.5112,0.0012352,0.652147,-0.000357,-0.189583
s0087,4,2,11,middle,0.0107763,7.5161,0.0094701,6.6318,0.0093862,6.5801,0.0013900,0.716767,0.000084,0.043482
s0087,4,2,12,middle,0.0124862,8.1162,0.0110688,7.2238,0.0111707,7.2983,0.0013155,0.632177,-0.000102,-0.049284
s0087,4,2,13,middle,0.0136806,8.7801,0.0124932,8.0504,0.0121141,7.8146,0.0015665,0.743298,0.000379,0.180881
s0087,4,2,14,middle,0.0175107,10.0722,0.0163270,9.4291,0.0144086,8.3303,0.0031022,1.319199,0.001918,0.820340
s0087,4,2,15,superficial,0.0217851,11.4309,0.0206650,10.8869,0.0172542,9.0998,0.0045310,1.757668,0.003411,1.330526
s0087,4,2,16,superficial,0.0234067,11.8698,0.0220402,11.2219,0.0177745,9.0597,0.0056322,2.111583,0.004266,1.608191
s0087,4,2,17,superficial,0.0251904,11.3053,0.0240806,10.8509,0.0187277,8.4480,0.0064628,2.144338,0.005353,1.785986
s0087,4,2,18,superficial,0.0247273,10.2987,0.0225486,9.4291,0.0177938,7.4489,0.0069335,2.134918,0.004755,1.472230
s0087,4,2,19,superficial,0.0254681,10.5574,0.0225251,9.3751,0.0170577,7.1072,0.0084104,2.577558,0.005467,1.684934
s0087,4,2,20,superficial,0.0218360,7.9613,0.0167156,6.1190,0.0122782,4.4995,0.0095578,2.576301,0.004437,1.202784
s0087,4,2,21,superficial,0.0157887,14.6456,0.0101640,9.4662,0.0078192,7.2903,0.0079695,5.465386,0.002345,1.617000
s0088,5,1,1,deep,0.0083457,8.1131,0.0093795,9.1358,0.0071992,6.9719,0.0011465,0.819238,0.002180,1.560560
s0088,5,1,2,deep,0.0065754,6.5231,0.0074405,7.3956,0.0068790,6.7982,-0.0003035,-0.221339,0.000562,0.410145
